,DoY,Hour,Tair,Rg,GPP_uStar_f,PAR,GPP_Sim,LAI_Sim
35548,11.0,14.0,-8.8595,343.76,-0.5332399999999999,707.3251028806584,14.127965911530891,0.0054
35549,11.0,14.5,-8.8499,234.76,-0.96806,483.04526748971193,9.648246676143216,0.0054
35550,11.0,15.0,-9.2529,188.69,-0.24583,388.2510288065844,7.754846078213766,0.0054
35551,11.0,15.5,-9.5362,94.99,-0.1559299999999999,195.45267489711932,3.9039314694447267,0.0054
35552,11.0,16.0,-10.142,42.86,0.048402,88.18930041152264,1.7614749213643648,0.0054
35583,12.0,7.5,-13.6988,38.26,-0.046575,78.72427983539094,1.572422549962683,0.0054
35584,12.0,8.0,-13.3245,105.39,-0.6945600000000001,216.85185185185185,4.331354222178964,0.0054
35585,12.0,8.5,-13.0209,152.24,-1.2513,313.2510288065844,6.256811526563483,0.0054
35586,12.0,9.0,-12.4312,270.21,-0.0054491,555.9876543209876,11.105182886184437,0.0054
35587,12.0,9.5,-11.8066,333.65,0.14276,686.522633744856,13.712461677863283,0.0054
35588,12.0,10.0,-11.255,393.06,-3.3993,808.7654320987655,16.154114152857613,0.0054
35589,12.0,10.5,-10.4751,441.17,-5.3633,907.7572016460906,18.13135536766955,0.0054
35590,12.0,11.0,-9.9573,475.27,-0.55755,977.9218106995885,19.532808816538537,0.0054
35591,12.0,11.5,-9.4142,494.9,-0.3265,1018.312757201646,20.339569262324407,0.0054
35592,12.0,12.0,-8.7894,499.51,-0.12936,1027.798353909465,20.52903261714218,0.0054
35593,12.0,12.5,-8.1812,490.5,-0.74422,1009.2592592592592,20.158736559244538,0.0054
35594,12.0,13.0,-7.7231,467.23,-0.72528,961.3786008230453,19.202378150001685,0.0054
35595,12.0,13.5,-7.4213,427.81,-0.24483,880.2674897119342,17.58228152377249,0.0054
35596,12.0,14.0,-7.2034,371.68,0.2281,764.7736625514403,15.275431609255882,0.0054
35597,12.0,14.5,-6.961,304.46,-0.079278,626.4609053497942,12.512801086294784,0.0054
35598,12.0,15.0,-6.8575,230.52,-0.15503,474.320987654321,9.473989707720797,0.0054
35599,12.0,15.5,-7.0084,145.57,-0.031646,299.5267489711934,5.982685588031044,0.0054
35600,12.0,16.0,-7.1971,48.47,-0.10053,99.73251028806584,1.9920366177911983,0.0054
35631,13.0,7.5,-14.7392,42.01,-0.061024,86.440329218107,1.7265413309966626,0.0054
35632,13.0,8.0,-14.6444,109.97,-0.74155,226.27572016460906,4.519584626748465,0.0054
35633,13.0,8.5,-14.3118,152.72,-1.2984,314.238683127572,6.276538730535833,0.0054
35634,13.0,9.0,-13.7669,272.79,-0.055786,561.2962962962963,11.211216607535816,0.0054
35635,13.0,9.5,-12.7684,341.14,0.23237,701.9341563786008,14.020288256515153,0.0054
35636,13.0,10.0,-11.9738,398.7,-2.9245,820.3703703703703,16.385908799532714,0.0054
35637,13.0,10.5,-10.9062,445.73,-4.0461,917.1399176954733,18.318763805406867,0.0054
35638,13.0,11.0,-10.0128,480.46,-0.56862,988.6008230452675,19.746109209489564,0.0054
35639,13.0,11.5,-9.0812,500.68,-0.7246199999999999,1030.2057613168724,20.57711767682478,0.0054
35640,13.0,12.0,-8.1972,504.43,-0.11563,1037.9218106995886,20.731236457858763,0.0054
35641,13.0,12.5,-7.3443,487.3,0.0084917,1002.6748971193416,20.027221866095545,0.0054
35642,13.0,13.0,-6.789,459.79,0.037349,946.0699588477366,18.89660648843027,0.0054
35643,13.0,13.5,-5.9626,415.55,0.072668,855.0411522633746,17.0784158556454,0.0054
35644,13.0,14.0,-5.6279,364.9,-0.36218,750.8230452674896,14.996784853146446,0.0054
35645,13.0,14.5,-5.4110000000000005,293.32,-0.0240219999999999,603.5390946502058,12.054965560769844,0.0054
35646,13.0,15.0,-5.1344,204.75,0.0463839999999999,421.2962962962963,8.414885444455289,0.0054
35647,13.0,15.5,-5.1666,94.79,-0.3542099999999999,195.0411522633745,3.8957118011229155,0.0054
35648,13.0,16.0,-6.2362,31.21,-0.1061599999999999,64.21810699588478,1.2826792416188015,0.0054
35679,14.0,7.5,-10.9565,53.07,-0.30809,109.19753086419753,2.18108898919288,0.0054
35680,14.0,8.0,-9.867,128.31,-0.30446,264.01234567901236,5.273328211858648,0.0054
35681,14.0,8.5,-8.9695,206.74,-0.26115,425.39094650205766,8.496671144257322,0.0054
35682,14.0,9.0,-8.0579,280.17,-0.5295,576.4814814814815,11.514522368610688,0.0054
35683,14.0,9.5,-7.3899,345.38,0.1356099999999999,710.6584362139918,14.19454522493757,0.0054
35684,14.0,10.0,-6.697,401.22,0.030743,825.5555555555557,16.489476620387553,0.0054
35685,14.0,10.5,-6.5686,449.25,0.035864,924.3827160493828,18.463429967870763,0.0054
35686,14.0,11.0,-5.9392,481.99,0.056534,991.7489711934156,19.808989672151426,0.0054
35687,14.0,11.5,-5.0680000000000005,498.95,-0.63495,1026.6460905349795,20.506017545841107,0.0054
35688,14.0,12.0,-4.7161,501.74,-0.0037573999999999,1032.3868312757202,20.620681918930387,0.0054
35689,14.0,12.5,-4.2465,491.82,-0.2079099999999999,1011.9753086419753,20.212986370168498,0.0054
35690,14.0,13.0,-3.9527,467.15,0.035174,961.2139917695473,19.19909028267296,0.0054
35691,14.0,13.5,-4.0715,427.34,-0.0274,879.3004115226337,17.56296530321623,0.0054
35692,14.0,14.0,-3.8511,374.09,0.19107,769.7325102880658,15.374478612533718,0.0054
35693,14.0,14.5,-3.5295,308.34,0.094365,634.4444444444445,12.672262651737944,0.0054
35694,14.0,15.0,-3.4972,235.67,-0.13192,484.917695473251,9.685646167007462,0.0054
35695,14.0,15.5,-3.6432,139.82,0.20035,287.6954732510288,5.746370123778942,0.0054
35696,14.0,16.0,-3.8794,54.03,1.5877,111.17283950617285,2.220543397137579,0.0054
35726,15.0,7.0,-8.759,10.23,-0.078902,21.049382716049383,0.4204360346606965,0.0054
35727,15.0,7.5,-8.8432,39.36,-0.1035799999999999,80.98765432098766,1.6176307257326505,0.0054
35728,15.0,8.0,-8.7509,57.08,-0.087768,117.44855967078189,2.3458933390452157,0.0054
35729,15.0,8.5,-8.7815,184.53,-0.31231,379.6913580246914,7.583876977120071,0.0054
35730,15.0,9.0,-8.142999999999999,157.69,-0.23074,324.4650205761317,6.4807974883328665,0.0054
35731,15.0,9.5,-7.189,246.08,1.2886,506.3374485596708,10.11347990315779,0.0054
35732,15.0,10.0,-6.5749,247.1,1.3133,508.43621399176953,10.155400211599032,0.0054
35733,15.0,10.5,-6.236000000000001,192.92,-0.027535,396.95473251028807,7.928692063220095,0.0054
35734,15.0,11.0,-5.5851,353.19,-0.35871,726.7283950617284,14.515523272904339,0.0054
35735,15.0,11.5,-4.918,390.96,0.20956,804.4444444444445,16.067807635478584,0.0054
35736,15.0,12.0,-4.2844,415.12,0.057049,854.1563786008231,17.060743568753505,0.0054
35737,15.0,12.5,-3.8648,445.65,0.024489,916.9753086419753,18.31547593807814,0.0054
35738,15.0,13.0,-3.2032,434.79,0.092629,894.6296296296297,17.86914794820374,0.0054
35739,15.0,13.5,-2.7585,365.12,-0.56757,751.2757201646091,15.00582648830044,0.0054
35740,15.0,14.0,-2.2597,261.09,0.084371,537.2222222222222,10.730366010709798,0.0054
